"GEO_ID","NAME","B19051_001E","B19051_001M","B19051_002E","B19051_002M","B19051_003E","B19051_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With earnings","Margin of Error!!Total!!With earnings","Estimate!!Total!!No earnings","Margin of Error!!Total!!No earnings",
"310M200US25260","Hanford-Corcoran, CA Metro Area","42692","1224","34676","1601","8016","1158",
"310M200US25420","Harrisburg-Carlisle, PA Metro Area","225810","2364","176472","3343","49338","2472",
"310M200US25500","Harrisonburg, VA Metro Area","47600","1427","38511","1584","9089","949",
"310M200US25540","Hartford-West Hartford-East Hartford, CT Metro Area","464613","3541","366959","4639","97654","3328",
"310M200US25620","Hattiesburg, MS Metro Area","54780","1804","41173","2390","13607","1663",
"310M200US25740","Helena, MT Micro Area","32041","1086","24569","1423","7472","1144",
"310M200US25840","Hermiston-Pendleton, OR Micro Area","30427","1193","24519","1307","5908","744",
"310M200US25860","Hickory-Lenoir-Morganton, NC Metro Area","140097","2902","97044","3036","43053","2417",
"310M200US25900","Hilo, HI Micro Area","64201","2195","46591","2258","17610","1761",
"310M200US25940","Hilton Head Island-Bluffton-Beaufort, SC Metro Area","78824","2380","52455","2822","26369","1923",
"310M200US25980","Hinesville, GA Metro Area","27874","1388","22154","1513","5720","990",
"310M200US26020","Hobbs, NM Micro Area","21101","1035","17339","986","3762","769",
"310M200US26090","Holland, MI Micro Area","42079","1298","32313","1356","9766","921",
"310M200US26140","Homosassa Springs, FL Metro Area","60541","2754","31266","2719","29275","2153",
"310M200US26300","Hot Springs, AR Metro Area","40134","1908","27998","2006","12136","1450",
"310M200US26380","Houma-Thibodaux, LA Metro Area","77548","1717","58572","2281","18976","1577",
"310M200US26420","Houston-The Woodlands-Sugar Land, TX Metro Area","2292992","8433","1976129","11123","316863","7473",
"310M200US26580","Huntington-Ashland, WV-KY-OH Metro Area","140735","2458","93459","2894","47276","2584",
"310M200US26620","Huntsville, AL Metro Area","172549","2541","134622","3219","37927","2214",
"310M200US26660","Huntsville, TX Micro Area","27854","2086","19890","2125","7964","1358",
"310M200US26740","Hutchinson, KS Micro Area","24894","983","19222","1224","5672","732",
"310M200US26820","Idaho Falls, ID Metro Area","45611","1390","35930","1442","9681","976",
"310M200US26860","Indiana, PA Micro Area","33066","1163","24709","1501","8357","861",
"310M200US26900","Indianapolis-Carmel-Anderson, IN Metro Area","755100","5229","605141","6709","149959","4872",
"310M200US26980","Iowa City, IA Metro Area","64183","1658","54287","1894","9896","1195",
"310M200US27060","Ithaca, NY Metro Area","38112","1463","29821","1617","8291","1271",
"310M200US27100","Jackson, MI Metro Area","59292","1651","42965","1982","16327","1471",
"310M200US27140","Jackson, MS Metro Area","210443","2733","163679","3054","46764","3444",
"310M200US27180","Jackson, TN Metro Area","49318","1380","36736","1479","12582","1267",
"310M200US27260","Jacksonville, FL Metro Area","536299","5772","415550","5850","120749","5099",
"310M200US27340","Jacksonville, NC Metro Area","64771","2390","55387","2594","9384","1253",
