Year,Month,CPI,Series Name,Geo Name,Annual Earnings per Household
2023,5,"Seattle, WA",2184.408097044956,1584796,4.7150000000000000
2023,5,"Seattle, WA",2184.408097044956,1611580,4.7150000000000000
2023,5,"St. Louis, MO",1345.2481847492638,1144111,3.3840000000000000
2023,5,"St. Louis, MO",1345.2481847492638,1168546,3.3840000000000000
2023,5,"Tampa, FL",2079.085883082745,1309614,3.4420000000000000
2023,5,"Tampa, FL",2079.085883082745,1329075,3.4420000000000000
2023,5,"Urban Honolulu, HI",2682.5570619754862,338093,4.6460000000000000
2023,5,"Urban Honolulu, HI",2682.5570619754862,338438,4.6460000000000000
2023,5,"Washington, DC",2321.6131526467507,2384977,3.4970000000000000
2023,5,"Washington, DC",2321.6131526467507,2422671,3.4970000000000000
2023,6,"Atlanta, GA",1932.7715214464797,2277482,3.2730000000000000
2023,6,"Atlanta, GA",1932.7715214464797,2311639,3.2730000000000000
2023,6,"Baltimore, MD",1808.740641256557,1117510,3.4330000000000000
2023,6,"Baltimore, MD",1808.740641256557,1126216,3.4330000000000000
2023,6,"Boston, MA",2989.1272144593504,1920160,3.5470000000000000
2023,6,"Boston, MA",2989.1272144593504,1948354,3.5470000000000000
2023,6,"Chicago, IL",2017.1749378728848,3670416,4.2360000000000000
2023,6,"Chicago, IL",2017.1749378728848,3726266,4.2360000000000000
2023,6,"Dallas, TX",1818.7779081210208,2836892,3.1850000000000000
2023,6,"Dallas, TX",1818.7779081210208,2908436,3.1850000000000000
2023,6,"Denver, CO",2041.9097088335689,1192117,3.4970000000000000
2023,6,"Denver, CO",2041.9097088335689,1223825,3.4970000000000000
2023,6,"Detroit, MI",1407.5771081272258,1759573,3.5970000000000000
2023,6,"Detroit, MI",1407.5771081272258,1762104,3.5970000000000000
2023,6,"Houston, TX",1692.9638144369176,2601401,3.0960000000000000
2023,6,"Houston, TX",1692.9638144369176,2682645,3.0960000000000000
2023,6,"Los Angeles, CA",2897.650239961907,4452780,4.8930000000000000
2023,6,"Los Angeles, CA",2897.650239961907,4500951,4.8930000000000000
2023,6,"Miami, FL",2747.355222953406,2306639,3.4330000000000000
2023,6,"Miami, FL",2747.355222953406,2344046,3.4330000000000000
2023,6,"Minneapolis, MN",1629.8492111747562,1453400,3.4910000000000000
2023,6,"Minneapolis, MN",1629.8492111747562,1483453,3.4910000000000000
2023,6,"New York, NY",3345.830240417798,7347700,3.6110000000000000
2023,6,"New York, NY",3345.830240417798,7478571,3.6110000000000000
2023,6,"Philadelphia, PA",1825.326435109705,2442868,3.5780000000000000
2023,6,"Philadelphia, PA",1825.326435109705,2483863,3.5780000000000000
2023,6,"Phoenix, AZ",1868.3309228213584,1863195,4.3890000000000000
2023,6,"Phoenix, AZ",1868.3309228213584,1890835,4.3890000000000000
2023,6,"Riverside, CA",2485.912743339634,1441602,4.8080000000000000
2023,6,"Riverside, CA",2485.912743339634,1443666,4.8080000000000000
2023,6,"San Diego, CA",3028.6739249986463,1162896,4.8740000000000000
2023,6,"San Diego, CA",3028.6739249986463,1172343,4.8740000000000000
2023,6,"San Francisco, CA",3068.99152811212,1719049,4.8580000000000000
2023,6,"San Francisco, CA",3068.99152811212,1739127,4.8580000000000000
2023,6,"Seattle, WA",2198.264246711834,1584796,4.9380000000000000
2023,6,"Seattle, WA",2198.264246711834,1611580,4.9380000000000000
2023,6,"St. Louis, MO",1356.7011023127145,1144111,3.3990000000000000
2023,6,"St. Louis, MO",1356.7011023127145,1168546,3.3990000000000000
2023,6,"Tampa, FL",2083.126191820699,1309614,3.3390000000000000
2023,6,"Tampa, FL",2083.126191820699,1329075,3.3390000000000000
2023,6,"Urban Honolulu, HI",2683.270690434847,338093,4.6050000000000000
2023,6,"Urban Honolulu, HI",2683.270690434847,338438,4.6050000000000000
2023,6,"Washington, DC",2339.067806065188,2384977,3.5060000000000000
2023,6,"Washington, DC",2339.067806065188,2422671,3.5060000000000000
2023,7,"Atlanta, GA",1936.7047528592848,2277482,3.3510000000000000
2023,7,"Atlanta, GA",1936.7047528592848,2311639,3.3510000000000000
2023,7,"Baltimore, MD",1819.2243884261852,1117510,3.5870000000000000
2023,7,"Baltimore, MD",1819.2243884261852,1126216,3.5870000000000000
2023,7,"Boston, MA",3004.888504541293,1920160,3.5810000000000000
2023,7,"Boston, MA",3004.888504541293,1948354,3.5810000000000000
2023,7,"Chicago, IL",2029.8888032276477,3670416,4.0870000000000000
2023,7,"Chicago, IL",2029.8888032276477,3726266,4.0870000000000000
2023,7,"Dallas, TX",1828.0697576585903,2836892,3.2660000000000000
2023,7,"Dallas, TX",1828.0697576585903,2908436,3.2660000000000000
2023,7,"Denver, CO",2050.066605320017,1192117,3.7980000000000000
