census_geo_id,census_geo_name
310M200US38540,"Pocatello, ID Metro Area"
310M200US38660,"Ponce, PR Metro Area"
310M200US38860,"Portland-South Portland, ME Metro Area"
310M200US38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"
310M200US38940,"Port St. Lucie, FL Metro Area"
310M200US39140,"Prescott, AZ Metro Area"
310M200US39300,"Providence-Warwick, RI-MA Metro Area"
310M200US39340,"Provo-Orem, UT Metro Area"
310M200US39380,"Pueblo, CO Metro Area"
310M200US39460,"Punta Gorda, FL Metro Area"
310M200US39540,"Racine, WI Metro Area"
310M200US39580,"Raleigh, NC Metro Area"
310M200US39660,"Rapid City, SD Metro Area"
310M200US39740,"Reading, PA Metro Area"
310M200US39820,"Redding, CA Metro Area"
310M200US39900,"Reno, NV Metro Area"
310M200US40060,"Richmond, VA Metro Area"
310M200US40140,"Riverside-San Bernardino-Ontario, CA Metro Area"
310M200US40220,"Roanoke, VA Metro Area"
310M200US40340,"Rochester, MN Metro Area"
310M200US40380,"Rochester, NY Metro Area"
310M200US40420,"Rockford, IL Metro Area"
310M200US40580,"Rocky Mount, NC Metro Area"
310M200US40660,"Rome, GA Metro Area"
310M200US40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area"
310M200US40980,"Saginaw, MI Metro Area"
310M200US41060,"St. Cloud, MN Metro Area"
310M200US41100,"St. George, UT Metro Area"
310M200US41140,"St. Joseph, MO-KS Metro Area"
310M200US41180,"St. Louis, MO-IL Metro Area"
310M200US41420,"Salem, OR Metro Area"
310M200US41500,"Salinas, CA Metro Area"
310M200US41540,"Salisbury, MD-DE Metro Area"
310M200US41620,"Salt Lake City, UT Metro Area"
310M200US41660,"San Angelo, TX Metro Area"
310M200US41700,"San Antonio-New Braunfels, TX Metro Area"
310M200US41740,"San Diego-Carlsbad, CA Metro Area"
310M200US41860,"San Francisco-Oakland-Hayward, CA Metro Area"
310M200US41900,"San Germán, PR Metro Area"
310M200US41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area"
310M200US41980,"San Juan-Carolina-Caguas, PR Metro Area"
310M200US42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area"
310M200US42100,"Santa Cruz-Watsonville, CA Metro Area"
310M200US42140,"Santa Fe, NM Metro Area"
310M200US42200,"Santa Maria-Santa Barbara, CA Metro Area"
310M200US42220,"Santa Rosa, CA Metro Area"
310M200US42340,"Savannah, GA Metro Area"
310M200US42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area"
310M200US42660,"Seattle-Tacoma-Bellevue, WA Metro Area"
310M200US42680,"Sebastian-Vero Beach, FL Metro Area"
310M200US42700,"Sebring, FL Metro Area"
310M200US43100,"Sheboygan, WI Metro Area"
310M200US43300,"Sherman-Denison, TX Metro Area"
310M200US43340,"Shreveport-Bossier City, LA Metro Area"
310M200US43420,"Sierra Vista-Douglas, AZ Metro Area"
310M200US43580,"Sioux City, IA-NE-SD Metro Area"
310M200US43620,"Sioux Falls, SD Metro Area"
310M200US43780,"South Bend-Mishawaka, IN-MI Metro Area"
310M200US43900,"Spartanburg, SC Metro Area"
310M200US44060,"Spokane-Spokane Valley, WA Metro Area"
310M200US44100,"Springfield, IL Metro Area"
310M200US44140,"Springfield, MA Metro Area"
310M200US44180,"Springfield, MO Metro Area"
310M200US44220,"Springfield, OH Metro Area"
310M200US44300,"State College, PA Metro Area"
310M200US44420,"Staunton-Waynesboro, VA Metro Area"
310M200US44700,"Stockton-Lodi, CA Metro Area"
310M200US44940,"Sumter, SC Metro Area"
310M200US45060,"Syracuse, NY Metro Area"
310M200US45220,"Tallahassee, FL Metro Area"
310M200US45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area"
310M200US45460,"Terre Haute, IN Metro Area"
310M200US45500,"Texarkana, TX-AR Metro Area"
310M200US45540,"The Villages, FL Metro Area"
310M200US45780,"Toledo, OH Metro Area"
310M200US45820,"Topeka, KS Metro Area"
310M200US45940,"Trenton, NJ Metro Area"
310M200US46060,"Tucson, AZ Metro Area"
310M200US46140,"Tulsa, OK Metro Area"
310M200US46220,"Tuscaloosa, AL Metro Area"
310M200US46340,"Tyler, TX Metro Area"
310M200US46520,"Urban Honolulu, HI Metro Area"
310M200US46540,"Utica-Rome, NY Metro Area"
310M200US46660,"Valdosta, GA Metro Area"
310M200US46700,"Vallejo-Fairfield, CA Metro Area"
310M200US47020,"Victoria, TX Metro Area"
310M200US47220,"Vineland-Bridgeton, NJ Metro Area"
310M200US47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
310M200US47300,"Visalia-Porterville, CA Metro Area"
310M200US47380,"Waco, TX Metro Area"
310M200US47460,"Walla Walla, WA Metro Area"
310M200US47580,"Warner Robins, GA Metro Area"
310M200US47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
310M200US47940,"Waterloo-Cedar Falls, IA Metro Area"
310M200US48060,"Watertown-Fort Drum, NY Metro Area"
310M200US48140,"Wausau, WI Metro Area"
310M200US48260,"Weirton-Steubenville, WV-OH Metro Area"
310M200US48300,"Wenatchee, WA Metro Area"
310M200US48540,"Wheeling, WV-OH Metro Area"
310M200US48620,"Wichita, KS Metro Area"
310M200US48660,"Wichita Falls, TX Metro Area"
310M200US48700,"Williamsport, PA Metro Area"
310M200US48900,"Wilmington, NC Metro Area"
310M200US49020,"Winchester, VA-WV Metro Area"
310M200US49180,"Winston-Salem, NC Metro Area"
310M200US49340,"Worcester, MA-CT Metro Area"
310M200US49420,"Yakima, WA Metro Area"
310M200US49620,"York-Hanover, PA Metro Area"
310M200US49660,"Youngstown-Warren-Boardman, OH-PA Metro Area"
310M200US49700,"Yuba City, CA Metro Area"
310M200US49740,"Yuma, AZ Metro Area"
310M300US10180,"Abilene, TX Metro Area"
310M300US10380,"Aguadilla-Isabela, PR Metro Area"
310M300US10420,"Akron, OH Metro Area"
310M300US10500,"Albany, GA Metro Area"
310M300US10540,"Albany, OR Metro Area"
310M300US10580,"Albany-Schenectady-Troy, NY Metro Area"
310M300US10740,"Albuquerque, NM Metro Area"
310M300US10780,"Alexandria, LA Metro Area"
310M300US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
310M300US11020,"Altoona, PA Metro Area"
310M300US11100,"Amarillo, TX Metro Area"
310M300US11180,"Ames, IA Metro Area"
310M300US11260,"Anchorage, AK Metro Area"
310M300US11460,"Ann Arbor, MI Metro Area"
310M300US11500,"Anniston-Oxford-Jacksonville, AL Metro Area"
310M300US11540,"Appleton, WI Metro Area"
310M300US11640,"Arecibo, PR Metro Area"
310M300US11700,"Asheville, NC Metro Area"
310M300US12020,"Athens-Clarke County, GA Metro Area"
310M300US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area"
310M300US12100,"Atlantic City-Hammonton, NJ Metro Area"
310M300US12220,"Auburn-Opelika, AL Metro Area"
310M300US12260,"Augusta-Richmond County, GA-SC Metro Area"
310M300US12420,"Austin-Round Rock, TX Metro Area"
310M300US12540,"Bakersfield, CA Metro Area"
