"GEO_ID","NAME","B19051_001E","B19051_001M","B19051_002E","B19051_002M","B19051_003E","B19051_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With earnings","Margin of Error!!Total!!With earnings","Estimate!!Total!!No earnings","Margin of Error!!Total!!No earnings",
"310M300US29940","Lawrence, KS Metro Area","47643","1418","39598","1777","8045","1096",
"310M300US30020","Lawton, OK Metro Area","46009","1523","36404","1888","9605","1049",
"310M300US30140","Lebanon, PA Metro Area","52786","1327","39634","1645","13152","1220",
"310M300US30300","Lewiston, ID-WA Metro Area","25553","1155","18088","1263","7465","1003",
"310M300US30340","Lewiston-Auburn, ME Metro Area","45979","1233","34106","1637","11873","1267",
"310M300US30460","Lexington-Fayette, KY Metro Area","202610","2839","164484","3714","38126","2259",
"310M300US30620","Lima, OH Metro Area","40872","993","31148","1275","9724","1081",
"310M300US30700","Lincoln, NE Metro Area","129363","1808","108061","2224","21302","1406",
"310M300US30780","Little Rock-North Little Rock-Conway, AR Metro Area","283142","3968","219900","4310","63242","3197",
"310M300US30860","Logan, UT-ID Metro Area","42764","901","36640","1228","6124","847",
"310M300US30940","London, KY Micro Area","46409","1842","26799","1967","19610","1671",
"310M300US30980","Longview, TX Metro Area","76055","2422","59391","2597","16664","1773",
"310M300US31020","Longview, WA Metro Area","41611","1081","28931","1645","12680","1236",
"310M300US31080","Los Angeles-Long Beach-Anaheim, CA Metro Area","4348543","10072","3594166","14956","754377","10335",
"310M300US31140","Louisville/Jefferson County, KY-IN Metro Area","502581","3983","389753","4692","112828","3986",
"310M300US31180","Lubbock, TX Metro Area","116077","2695","94052","3554","22025","2330",
"310M300US31260","Lufkin, TX Micro Area","31544","1192","23364","1666","8180","1132",
"310M300US31300","Lumberton, NC Micro Area","45351","1220","30706","1422","14645","1081",
"310M300US31340","Lynchburg, VA Metro Area","98409","2653","71669","3137","26740","1837",
"310M300US31420","Macon-Bibb County, GA Metro Area","84028","2310","59251","2486","24777","1815",
"310M300US31460","Madera, CA Metro Area","46282","1219","36330","1708","9952","1345",
"310M300US31540","Madison, WI Metro Area","272698","2381","226613","3024","46085","2243",
"310M300US31700","Manchester-Nashua, NH Metro Area","161414","1779","135358","2604","26056","1746",
"310M300US31740","Manhattan, KS Metro Area","35489","1421","30350","1623","5139","813",
"310M300US31820","Manitowoc, WI Micro Area","34446","871","25384","1021","9062","854",
"310M300US31860","Mankato-North Mankato, MN Metro Area","38901","1149","31905","1447","6996","819",
"310M300US31900","Mansfield, OH Metro Area","48998","1322","36239","1958","12759","1468",
"310M300US31940","Marinette, WI-MI Micro Area","29171","1019","20361","1131","8810","745",
"310M300US31980","Marion, IN Micro Area","25878","1360","18429","1339","7449","969",
"310M300US32020","Marion, OH Micro Area","24971","873","17146","1236","7825","897",
"310M300US32100","Marquette, MI Micro Area","25725","1127","18060","1278","7665","724",
"310M300US32220","Marshall, TX Micro Area","22618","1202","16073","1530","6545","1138",
"310M300US32300","Martinsville, VA Micro Area","27481","1365","18473","1480","9008","972",
"310M300US32420","Mayagüez, PR Metro Area","35806","1982","16415","1838","19391","1768",
"310M300US32580","McAllen-Edinburg-Mission, TX Metro Area","239825","3843","191270","4271","48555","2721",
"310M300US32740","Meadville, PA Micro Area","36050","1066","26322","1583","9728","1012",
"310M300US32780","Medford, OR Metro Area","89701","1578","62295","2137","27406","2192",
"310M300US32820","Memphis, TN-MS-AR Metro Area","493068","5069","384920","6238","108148","4792",
"310M300US32900","Merced, CA Metro Area","80969","1208","63061","1730","17908","1732",
"310M300US32940","Meridian, MS Micro Area","39501","1901","27231","1881","12270","1462",
"310M300US33100","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","2105878","10109","1626030","11421","479848","8358",
"310M300US33140","Michigan City-La Porte, IN Metro Area","42385","1508","30305","1718","12080","1120",
"310M300US33220","Midland, MI Metro Area","34096","960","25150","1076","8946","853",
"310M300US33260","Midland, TX Metro Area","58490","1370","50870","1693","7620","1162",
"310M300US33340","Milwaukee-Waukesha-West Allis, WI Metro Area","625495","4157","484545","6112","140950","4524",
"310M300US33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","1376557","6048","1141182","7085","235375","4804",
"310M300US33500","Minot, ND Micro Area","30973","1401","25917","1395","5056","753",
"310M300US33540","Missoula, MT Metro Area","48806","1498","39191","1928","9615","1141",
"310M300US33660","Mobile, AL Metro Area","154683","2623","110335","2856","44348","2529",
"310M300US33700","Modesto, CA Metro Area","173573","1630","137891","2784","35682","2285",
